"id","goal_id","sort_number","title","description"
134,15,8,"15.8","Inden 2020, introducere foranstaltninger for at forhindre indførelsen, og væsentlig begrænse indvirkningen, af naturfremmede arter på land- og i vandøkosystemer, og kontrollere eller udrydde de prioriterede arter."
135,15,9,"15.9","Inden 2020, integrere økosystem- og biodiversitetsværdier ind i national og lokal planlægning, i udviklingsprocesser, og i fattigdomsbekæmpelsesstrategier og redegørelser."
136,15,10,"15.a","Mobilisere og betydeligt øge de finansielle ressourcer fra alle kilder til at beskytte og bruge biodiversitet og økosystemer bæredygtigt."
137,15,11,"15.b","Mobilisere betydelige ressourcer fra alle kilder og alle niveauer til at finansiere bæredygtig skovforvaltning og til at give tilstrækkelige incitamenter for udviklingslande til at fremme denne form for forvaltning, herunder beskyttelse og genplantning af fældede skovområder."
138,15,12,"15.c","Øge den globale støtte til kampen mod krybskytteri og ulovlig handel med beskyttede arter, bl.a. gennem styrkelse af lokalsamfunds muligheder for at forfølge en bæredygtig levevis."
139,16,1,"16.1","Alle former for vold, og voldsrelaterede dødsfald skal reduceres væsentligt overalt."
140,16,2,"16.2","Der skal sættes en stopper for mishandling, udnyttelse og menneskehandel, og alle former for vold og tortur mod børn."
141,16,3,"16.3","Retssikkerheden skal fremmes på nationalt og internationalt niveau og der skal sikres lige adgang til en retfærdig rettergang."
142,16,4,"16.4","Inden 2030, skal ulovlige penge- og våbenstrømme væsentlig reduceres, og indsatsen for tilvejebringelse af stjålne værdier og bekæmpelse af alle former for organiseret kriminalitet skal styrkes."
143,16,5,"16.5","Alle former for korruption og bestikkelse skal nedbringes betydeligt."
144,16,6,"16.6","Der skal udvikles effektive, ansvarlige og gennemsigtige institutioner på alle niveauer."
145,16,7,"16.7","Der skal sikres lydhøre, inkluderende, deltagerbaserede og repræsentative beslutningsprocesser på alle niveauer."
146,16,8,"16.8","Udviklingslandenes deltagelse i globale mellemstatslige institutioner skal udbygges og styrkes."
147,16,9,"16.9","Inden 2030, skal der gives en retlig identitet til alle, herunder fødselsregistrering."
148,16,10,"16.10","Der skal sikres offentlig adgang til information og beskyttelse af fundamentale frihedsrettigheder i henhold til international lovgivning og internationale aftaler."
149,16,11,"16.a","Relevante nationale institutioner skal styrkes, blandt andet gennem internationalt samarbejde, for at opbygge kapacitet på alle niveauer, og i særdeleshed i udviklingslande, for at forhindre vold og bekæmpe terrorisme og kriminalitet."
150,16,12,"16.b","Ikke-diskriminerende love og politikker til støtte for en bæredygtig udvikling skal fremmes og håndhæves."
151,17,1,"17.1","National ressourcemobilisering skal styrkes, blandt andet gennem international støtte til udviklingslande, for at forbedre den nationale kapacitet til skatte- og andre indtægtsopkrævninger."
152,17,2,"17.2","Udviklede lande skal leve fuldt op til deres officielle forpligtelser til at give udviklingsbistand, herunder mange udviklede landes løfte om at nå målet på 0,7% af bruttonationalproduktet i udviklingsbistand (ODA/BNI) til udviklingslande og 0,15% til 0,20% af ODA/BNI til de mindst udviklede lande. ODA-støtter tilskyndes til at sætte et mål om at give mindst 0,20% af ODA/BNI til de mindst udviklede lande."
153,17,3,"17.3","Der skal mobiliseres yderligere finansielle ressourcer til udviklingslande fra forskellige kilder."
154,17,4,"17.4","Udviklingslande skal hjælpes til at opnå langsigtet gældsstabilitet gennem koordinerede politikker, der skal fremme gældsfinansiering og gældssanering, alt efter hvad der er passende, og den eksterne gæld for meget gældsatte fattige lande skal adresseres med henblik på at nedsætte gældspresset."
155,17,5,"17.5","Der skal vedtages og implementeres investeringsfremmende tiltag for de mindst udviklede lande."
156,17,6,"17.6","Forbedre Nord-Syd-, Syd-Syd- og det regionale trekantssamarbejde samt det internationale samarbejde omkring, og adgang til, videnskab, teknologi og innovation, og øge vidensdeling igennem gensidige aftalevilkår, herunder forbedret koordinering af eksisterende mekanismer, især på FN niveau, og gennem en global teknologi-faciliteringsmekanisme."
157,17,7,"17.7","Fremme udvikling, overførsel, udbredelse og spredning af miljømæssig fornuftige teknologier til udviklingslande på gunstige vilkår, herunder koncessionsvilkår og begunstigede vilkår, efter gensidig aftale."
158,17,8,"17.8","Teknologibanken og videnskab-, teknologi- og innovation kapacitets-opbygningsmekanismer skal operationaliseres for de mindst udviklede lande inden 2017 og der skal ske en øget brug af støtteteknologier, især informations- og kommunikationsteknologier."
159,17,9,"17.9","Øge international støtte til implementering af effektiv og målrettet kapacitetsopbygning i udviklingslande for at støtte nationale planer til implementering af verdensmålene for bæredygtig udvikling, herunder gennem Nord-Syd-, Syd-Syd- og trekantssamarbejde."
160,17,10,"17.10","Fremme et universelt, regelbaseret, åbent, ikke-diskriminerende og retfærdigt multilateralt handelssystem under Verdenshandelsorganisationen (WTO), bl.a. gennem forhandlingskonklusionerne fra ""Doha-udviklingsdagsordenen""."
161,17,11,"17.11","Udviklingslandenes eksport skal øges betydeligt, og der skal særligt stiles efter at fordoble de mindst udviklede landes andel af den globale eksport inden 2020."
162,17,12,"17.12","Der skal implementeres vedvarende toldfri og kvotefri markedsadgang for alle de mindst udviklede lande, i overensstemmelse med Verdenshandelsorganisationens beslutninger, bl.a. ved at sikre at regler vedrørende præferenceoprindelsesland, gældende for import fra de mindst udviklede lande, er gennemsigtige og enkle, og bidrager til at give lettere markedsadgang."
163,17,13,"17.13","Den globale makroøkonomiske stabilitet skal forbedres, bl.a. gennem koordination og kohærens af politikker."
164,17,14,"17.14","Der skal være bedre kohærens mellem politikker for bæredygtig udvikling."
165,17,15,"17.15","Der skal udvises respekt for hvert lands politiske handlerum og lederskab i forhold til at indføre og implementere politikker til udryddelse af fattigdom og bæredygtig udvikling."
166,17,16,"17.16","Det globale partnerskab for bæredygtig udvikling skal styrkes, suppleret af partnerskaber med mange forskellige interessenter, der mobiliserer og deler viden, ekspertise, teknologi og finansielle ressourcer, for at støtte alle lande i at nå verdensmålene for bæredygtig udvikling, især udviklingslandene."
167,17,17,"17.17","Tilskynde til og fremme effektive offentlige partnerskaber, offentligt-private partnerskaber og civilsamfundspartnerskaber, som bygger på erfaringer og ressourcestrategier fra partnerskaber."
168,17,18,"17.18","Inden 2020, skal støtten til kapacitetsopbygning i udviklingslandene øges, herunder til de mindst udviklede lande og små østater under udvikling, for i væsentlig grad at øge tilgængeligheden af høj kvalitets, opdatereret og pålidelig data, der er sorteret efter indkomst, køn, alder, race, etnicitet, migrationsstatus, handicap, geografisk placering og andre relevante kendetegn i en national kontekst."
169,17,19,"17.19","Inden 2030 skal der bygges videre på eksisterende initiativer for at udvikle måling af fremskridt mod bæredygtig udvikling, som supplerer bruttonationalproduktet og støtter den statistiske kapacitetsopbygning i udviklingslandene."
